Sample in Buffer,Sample in Window,TRIGGER,TEC1[15:0],Target_Temp[15:0],change_target_temp[3:0],u_pid_contorl/Target_Temp1[15:0],u_pid_contorl/AD_output[15:0],u_ila_0_error[15:0]
550,550,0,8000,0000,0,1900,8000,fe02
551,551,0,8000,0000,0,1900,8000,fe02
552,552,0,8000,0000,0,1900,8000,fe02
553,553,0,8000,0000,0,1900,8000,fe02
554,554,0,8000,0000,0,1900,8000,fe02
555,555,0,8000,0000,0,1900,8000,fe02
556,556,0,8000,0000,0,1900,8000,fe02
557,557,0,8000,0000,0,1900,8000,fe02
558,558,0,8000,0000,0,1900,8000,fe02
559,559,0,8000,0000,0,1900,8000,fe02
560,560,0,8000,0000,0,1900,8000,fe02
561,561,0,8000,0000,0,1900,8000,fe02
562,562,0,8000,0000,0,1900,8000,fe02
563,563,0,8000,0000,0,1900,8000,fe02
564,564,0,8000,0000,0,1900,8000,fe02
